ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRKB
JPM
LLY
XOM
JNJ
WMT
V
MU
COST
MA
ABBV
HD
PG
CAT
BAC
GE
CVX
AMD
NFLX
CSCO
MRK
KO
LRCX
AMAT
PLTR
PM
WFC
RTX
GS
UNH
ORCL
IBM
MCD
LIN
GEV
PEP
VZ
C
AMGN
MS
TXN
INTC
TMO
ABT
KLAC
T
DIS
NEE
GILD
AXP
APH
ISRG
TJX
BA
CRM
ADI
BLK
DE
SCHW
UNP
LOW
HON
QCOM
PFE
ETN
UBER
WELL
ANET
COP
NEM
LMT
ACN
DHR
BKNG
COF
PLD
SYK
PH
SPGI
MDT
BMY
VRTX
CB
PGR
PANW
MCK
MO
CMCSA
BSX
NOW
CME
SBUX
ADBE
SO
INTU
CRWD
TMUS
TT
GLW
HWM
NOC
DUK
APP
CVS
WDC
JCI
BX
VRT
CEG
PNC
USB
EQIX
FCX
GD
MRSH
ICE
MMM
WMB
ADP
AMT
WM
EMR
HCA
UPS
ITW
CRH
SNDK
SHW
BK
CMI
FDX
SNPS
PWR
CDNS
ORLY
REGN
RCL
CSX
MAR
ELV
SLB
MDLZ
GM
NKE
MSI
CL
ECL
CI
SPOT
TDG
HLT
NSC
MCO
KKR
AEP
MRVL
CTAS
AON
EOG
LHX
TRV
TFC
WBD
COR
SPG
PCAR
ROST
KMI
PSX
DASH
APD
AZO
BKR
SRE
DLR
VLO
NET
MPC
O
SNOW
NU
VST
MNST
URI
XTSLA
ZTS
HOOD
D
AJG
AFL
OKE
MPWR
F
AU
AME
ABNB
ALL
FAST
CAH
CTVA
TGT
BDX
FTNT
IDXX
EA
CMG
CARR
GWW
FERG
TER
APO
FITB
ADSK
TRGP
LNG
XEL
EXC
FIX
PSA
ETR
YUM
EW
CVNA
RSG
WAB
ROK
CIEN
LITE
CBRE
AIG
AMP
MET
DAL
DHI
USD
SYY
ALNY
PEG
NUE
KR
KEYS
MLM
MCHP
ED
VTR
VMC
RBLX
HIG
PCG
MSCI
PYPL
GRMN
EBAY
IR
DELL
DDOG
GEHC
KDP
RMD
CCI
WEC
EQT
COIN
NDAQ
TTWO
OTIS
OXY
ODFL
PRU
STT
KMB
HBAN
UAL
MTB
A
ROP
KVUE
COHR
EME
ACGL
MSTR
CCL
BE
INSM
DG
CPRT
NRG
FISV
FANG
ADM
AXON
WAT
IRM
HSY
IBKR
DOV
FICO
RKLB
XYL
VICI
CTSH
TPR
ULTA
TDY
EXR
CBOE
DTE
HAL
WDAY
PAYX
FTAI
AEE
WTW
RJF
XYZ
IQV
PPG
ATO
HUBB
ON
HPE
MTD
CFG
DXCM
BIIB
DVN
NTRA
MDB
JBL
CNP
EIX
TPL
TSCO
PPL
NTRS
PHM
ES
EL
FE
VEEV
RF
STLD
CW
FIS
SYF
LPLA
OMC
SW
DLTR
MKL
AWK
FTI
VRSK
CHD
AVB
WSM
DRI
CINF
CASY
LYV
STE
IP
LUV
ARES
CPNG
FLEX
ZM
EFX
CTRA
LH
EQR
GIS
LEN
CPAY
EXE
FSLR
Q
WWD
SOFI
EXPE
XPO
HUM
PSTG
CMS
AMCR
LDOS
VLTO
STZ
RGLD
DGX
QSR
DOW
USFD
CHRW
NI
PKG
CNC
ATI
SBAC
DD
EXPD
IFF
CSGP
BR
KEY
TROW
NVR
KHC
NTAP
PFG
UTHR
WRB
BRO
BURL
THC
SNA
CRDO
ENTG
ZBH
GPN
ALB
HEIA
CHTR
RBA
NVT
EXAS
FLUT
LULU
VTRS
BAM
FWONK
ASTS
ILMN
BWXT
WY
CRS
BALL
FCNCA
L
EVRG
FTV
PTC
VRSN
RVMD
RDDT
FN
TSN
SGI
LVS
HII
TXT
LNT
PODD
WST
RS
RPRX
MRNA
JBHT
RKT
APTV
CSL
MKC
ITT
LII
MTZ
HPQ
KTOS
TLN
SCCO
DECK
RBC
COO
ROL
HOLX
J
EWBC
ALAB
NXT
PNR
GPC
SMCI
ZS
CF
ESS
BG
MKSI
APG
TRMB
INCY
CDW
LECO
MAS
FFIV
SUI
NDSN
SATS
NLY
INVH
MAA
WPC
TWLO
IEX
QXO
AA
AKAM
GGG
TOL
PFGC
SSNC
KIM
MTSI
CLX
CDE
JLL
AVY
BLD
PNFP
RPM
TRU
RL
RGA
HEI
AFRM
OVV
LYB
EG
WCC
TKO
RNR
HL
CLH
WSO
FNF
HST
HAS
TW
TYL
ALLE
RRX
CG
REG
SWK
CACI
VIK
OHI
OKTA
TEAM
DKS
CCK
GNRC
DCI
DTM
PEN
IONS
LSCC
GH
BJ
MLI
ALGN
ELS
BWA
ACM
SNX
STRL
BBY
NBIX
PR
ZBRA
TOST
GLPI
UNM
FHN
UDR
TXRH
SOLS
EQH
UHS
NYT
DY
BLDR
WMS
ELAN
SF
EVR
GEN
DPZ
HUBS
GDDY
RIVN
JKHY
DOC
PNW
GL
RVTY
IT
EXEL
WBS
FOXA
BMRN
CPT
FIVE
AGNC
ROKU
FLS
MOD
AES
LAMR
SCI
AEIS
SPXC
AIZ
ENSG
OSK
RMBS
CNH
OC
ONTO
TTD
ALLY
IONQ
SJM
AIT
BBIO
EHC
CNM
SOLV
BAX
GWRE
DKNG
APA
WTRG
ROIV
DT
TTMI
ARMK
ONON
AVAV
SN
TTC
JAZZ
NTNX
SAIA
CR
